Date,Open,High,Low,Close,Adj Close,Volume
2016-04-29,100000.000000,100500.000000,99500.000000,100500.000000,100183.335938,144488
2016-05-02,99500.000000,100300.000000,99400.000000,99600.000000,99286.164063,129817
2016-05-03,99600.000000,100700.000000,99600.000000,99800.000000,99485.539063,110400
2016-05-04,100100.000000,100700.000000,99700.000000,100000.000000,99684.906250,134988
2016-05-09,99700.000000,102300.000000,99700.000000,101700.000000,101379.546875,251719
2016-05-10,101900.000000,102200.000000,99900.000000,100600.000000,100283.015625,208613
2016-05-11,101500.000000,106300.000000,100800.000000,105700.000000,105366.945313,719902
2016-05-12,104300.000000,107900.000000,104000.000000,106300.000000,105965.062500,559362
2016-05-13,105700.000000,105900.000000,103300.000000,103800.000000,103472.929688,260861
2016-05-16,103100.000000,106200.000000,102400.000000,105400.000000,105067.890625,244587
2016-05-17,104500.000000,106200.000000,104100.000000,105100.000000,104768.835938,199833
2016-05-18,104100.000000,104900.000000,103100.000000,104500.000000,104170.726563,207110
2016-05-19,104600.000000,105300.000000,99800.000000,100300.000000,99983.960938,396406
2016-05-20,99900.000000,100500.000000,98500.000000,99300.000000,98987.109375,322346
2016-05-23,100200.000000,101700.000000,100000.000000,100200.000000,99884.281250,171336
2016-05-24,100200.000000,100700.000000,99200.000000,99200.000000,98887.429688,172022
2016-05-25,99400.000000,100500.000000,99200.000000,99600.000000,99286.164063,232780
2016-05-26,99700.000000,100300.000000,98900.000000,99700.000000,99385.851563,185523
2016-05-27,100400.000000,101200.000000,99900.000000,100600.000000,100283.015625,201380
2016-05-30,101600.000000,103500.000000,101300.000000,102800.000000,102476.085938,353802
2016-05-31,102800.000000,103500.000000,102000.000000,102800.000000,102476.085938,332493
2016-06-01,102900.000000,103000.000000,98100.000000,98500.000000,98189.632813,1011274
2016-06-02,99000.000000,99300.000000,96300.000000,97500.000000,97192.789063,556790
2016-06-03,97000.000000,98600.000000,96900.000000,98000.000000,97691.203125,321939
2016-06-07,97900.000000,98600.000000,97100.000000,98200.000000,97890.578125,278467
2016-06-08,97400.000000,98400.000000,96900.000000,97000.000000,96694.359375,330359
2016-06-09,97400.000000,97500.000000,94400.000000,95200.000000,94900.023438,870266
2016-06-10,95500.000000,96100.000000,94600.000000,94900.000000,94600.976563,394023
2016-06-13,94200.000000,94500.000000,93500.000000,93800.000000,93504.445313,262900
2016-06-14,93000.000000,95200.000000,93000.000000,94100.000000,93803.500000,282122
